Time,RegionName,NumValue
1999-01,Austria,11
1999-02,Austria,14
1999-03,Austria,12
1999-04,Austria,6
1999-05,Austria,3
1999-06,Austria,4
1999-07,Austria,4
1999-08,Austria,7
1999-09,Austria,9
1999-10,Austria,3
1999-11,Austria,9
1999-12,Austria,8
2000-01,Austria,8
2000-02,Austria,11
2000-03,Austria,10
2000-04,Austria,7
2000-05,Austria,6
2000-06,Austria,1
2000-07,Austria,3
2000-08,Austria,4
2000-09,Austria,1
2000-10,Austria,7
2000-11,Austria,3
2000-12,Austria,6
2001-01,Austria,7
2001-02,Austria,22
2001-03,Austria,11
2001-04,Austria,8
2001-05,Austria,5
2001-06,Austria,4
2001-07,Austria,6
2001-08,Austria,3
2001-09,Austria,4
2001-10,Austria,8
2001-11,Austria,3
2001-12,Austria,5
2002-01,Austria,15
2002-02,Austria,10
2002-03,Austria,9
2002-04,Austria,3
2002-05,Austria,4
2002-06,Austria,7
2002-07,Austria,6
2002-08,Austria,1
2002-09,Austria,4
2002-10,Austria,4
2002-11,Austria,4
2002-12,Austria,9
2003-01,Austria,6
2003-02,Austria,7
2003-03,Austria,13
2003-04,Austria,10
2003-05,Austria,5
2003-06,Austria,3
2003-07,Austria,5
2003-08,Austria,5
2003-09,Austria,3
2003-10,Austria,2
2003-11,Austria,2
2003-12,Austria,4
2004-01,Austria,15
2004-02,Austria,6
2004-03,Austria,9
2004-04,Austria,6
2004-05,Austria,4
2004-06,Austria,8
2004-07,Austria,5
2004-08,Austria,3
2004-09,Austria,1
2004-10,Austria,6
2004-11,Austria,4
2004-12,Austria,2
2005-01,Austria,10
2005-02,Austria,11
2005-03,Austria,16
2005-04,Austria,6
2005-05,Austria,7
2005-06,Austria,4
2005-07,Austria,1
2005-08,Austria,6
2005-09,Austria,2
2005-10,Austria,6
2005-11,Austria,4
2005-12,Austria,10
2006-01,Austria,7
2006-02,Austria,8
2006-03,Austria,9
2006-04,Austria,5
2006-05,Austria,6
2006-06,Austria,3
2006-07,Austria,4
2006-08,Austria,0
2006-09,Austria,5
2006-10,Austria,5
2006-11,Austria,9
2006-12,Austria,7
2007-01,Austria,10
2007-02,Austria,7
2007-03,Austria,9
2007-04,Austria,2
2007-05,Austria,3
2007-06,Austria,2
2007-07,Austria,1
2007-08,Austria,6
2007-09,Austria,2
2007-10,Austria,5
2007-11,Austria,6
2007-12,Austria,8
2008-01,Austria,7
2008-02,Austria,14
2008-03,Austria,16
2008-04,Austria,6
2008-05,Austria,4
2008-06,Austria,9
2008-07,Austria,6
2008-08,Austria,0
2008-09,Austria,4
2008-10,Austria,5
2008-11,Austria,3
2008-12,Austria,10
2009-01,Austria,14
2009-02,Austria,7
2009-03,Austria,8
2009-04,Austria,7
2009-05,Austria,10
2009-06,Austria,6
2009-07,Austria,8
2009-08,Austria,3
2009-09,Austria,5
2009-10,Austria,4
2009-11,Austria,10
2009-12,Austria,7
2010-01,Austria,12
